Name	Edible	Poisonous	Term_found
Montagnea arenaria	0	0	True
Morcella esculenta	2	0	True
Morchella angusticeps	5	2	True
Morchella elata	5	0	True
Morchella esculenta	4	1	True
Morchella semilibera	2	0	True
Morchella sp	0	2	True
Morchella tomentosa	0	0	True
Morchella tulipifera	0	0	False
Mucronella alba	0	0	False
Mucronella calva	0	0	False
Mushroom Mix	3	5	True
Mutinus bambusinus	0	0	False
Mutinus sp	4	3	True
Mycena chlorophos	1	0	True
Mycena deusta	0	0	False
Mycena fera	0	0	True
Mycena haematopus	1	0	True
Mycena interrupta	0	0	False
Mycena leaiana	1	0	False
Mycena nargan	0	0	False
Mycena overholtsii	1	0	False
Mycena purpureofusca	1	0	False
Mycena sp	0	0	True
Mycena sp	0	0	True
Mycena tapeina	1	0	False
Mycena viscidocruenta	1	0	False
Nidula sp	0	0	True
Omphalotus illudens	0	6	True
Omphalotus japonicus	0	0	True
Omphalotus nidiformis	0	0	True
Omphalotus subilludens	0	0	True
Oudemansiella canarii	1	0	True
Oudemansiella mucida	0	0	True
Panellus longinquus	6	5	False
Panus conchatus	0	0	True
Paurocotylis pila	0	0	True
Paxillus atrotomentosus	0	1	True
Penicillopsis clava	0	1	False
Perenniporia martiusii	0	0	False
Peziza violacea	0	0	False
Phaeolepiota aurea	0	0	True
Phaeolus schweinitzii	0	1	True
Phallus callichrous	0	0	False
Phallus impudicus	0	0	True
Phallus indusiatus	0	0	True
Phallus merulinus	0	0	False
Phallus ravenelii	0	0	False
Phillipsia domingensis	0	1	False
Phlebopus sp	1	0	True
Phlogiotis helvelloides	0	0	False
Pholiota destruens	0	0	False
Pholiota flammans	1	1	False
Pholiota sp	2	0	True
Pholiota squarrosa	1	1	True
Phylloporus rhodoxanthus	0	0	False
Phyllotopsis nidulans	0	0	True
Pisolithus tinctorius	2	3	True
Pleurocybella porrigens	1	8	True
Pleurotus citrinopileatus	7	1	True
Pleurotus djamor	8	0	True
Pleurotus eryngii	6	1	True
Pleurotus ostreatus	6	1	True
Pleurotus serotinus	5	2	True
Pleurotus sp	3	5	True
Pleurotus tuber	5	3	True
Pluteus atromarginatus	0	0	False
Pluteus sp	1	0	True
Pluteus thomsonii	0	0	False
Podaxis beringamensis	2	1	False
Podoscypha petaloides	0	0	False
Podoserpula pusio	0	0	False
Podostroma cornu	0	11	True
Polyozellus multiplex	4	0	True
Polyporus arcularius	1	0	True
Polyporus curitpes	2	0	False
Polyporus guianensis	0	0	False
Polyporus sp	0	0	True
Polyporus squamosus	4	3	True
Polyporus tenuiculus	0	0	True
Poronia gigantea	0	0	False
Psathyrella delineata	0	0	True
Pseudocolus fusiformis	1	0	True
Pseudocolus schellen	0	0	False
Pseudohydnum gelatinosum	2	1	True
Psilocybe cubensis	0	4	True
Psilocybe cyanescens	0	0	True
Psilocybe sp	0	2	True
Psilocybe squamosa	0	0	False
Pterula subulata	0	0	False
Pulcherricium caeruleum	0	2	False
Pulveroboletus auri	0	0	False
Pycnoporus coccineus	0	0	True
Pynconoporus sp	0	4	True
Ramaria sp	2	0	True
Ramaria moelleriana	10	4	False
Ramaria sp	2	0	True
Ramariopsis kunzei	0	0	False
Roridomyces sp	0	1	False
Rozites caperata	3	0	True
Russula crustosa	1	1	True
Russula sp	2	0	True
Sarcodon bambusinus	1	0	False
Sarcodon imbricatus	2	0	True
Sarcodon sp	0	0	True
Sarcoscypha coccinea	0	0	True
Schizophyllum commune	2	0	True
Scleroderma citrinum	4	3	True
Scutellinia scutellata	0	1	False
Slime mold	0	2	True
Sparassis sp	0	0	True
Spathularia flavida	0	0	True
Spathularia velutipes	0	0	True
Spinellus sp	0	0	True
Staheliomyces cinctus	1	0	False
Stemonitis axifera	0	0	False
Stemonitis sp	0	0	True
Stipitochaete damicornis	0	4	False
Strobilomyces confusus	0	0	True
Strobilomyces floccopus	0	0	True
Stropharia aeruginosa	0	0	True
Stropharia ambigua	0	0	False
Stropharia coronilla	1	2	True
Suillus cavipes	0	0	True
Suillus grevillei	6	1	True
Suillus lakeii	0	0	True
Suillus ochraceoroseus	0	0	False
Termitomyces microcarpus	5	1	True
Termitomyces striatus	5	1	True
Tetrapyrgos nigripe	0	0	True
Tetrapyrgos nigripes	0	0	True
Thaxterogaster porphyreum	0	0	False
Trametes versicolor	1	1	True
Tremella fuciformis	4	0	True
Tremella mesenterica	0	0	True
Tremella reticulata	0	0	False
Trichaptum abietinum	0	0	True
Trichocoma paradoxa	0	0	True
Tricholoma bakamatsutake	0	1	True
Tricholoma magnivelare	1	5	True
Tricholoma pardinum	0	1	True
Tricholomopsis decora	0	0	False
Tricholomopsis sp	0	0	True
Trogia sp	0	0	True
Tylopilus plumbeoviolaceus	0	0	True
Vanromburghia sp	0	1	False
Verpa bohemica	2	0	True
Volvariella bombycina	2	0	True
Weraroa erythrocephala	0	1	False
Weraroa virescens	0	1	False
Xeromphalina campanella	0	0	True
Xerula furfuracea	0	0	False
Xylaria hypoxylon	0	2	True
Xylaria tentaculata	0	0	True
